"sim_id","true_n","param_type","prevalence","contact_rate","transmission_rate","recovery_rate","R0"
69,8625,"true",0.00790397716849111,2.50919542182237,0.0968569755797736,0.107491422992665,2.26095322705805
69,8625,"abc",0.00790397716849111,3.02234227715816,0.0773989549447202,0.105139142617701,2.22491954863921
69,8625,"lstm",0.00790397716849111,2.44509632390395,0.100494205951691,0.107491422992665,2.28593134880066
70,8103,"true",0.0126311494440306,3.55053362250328,0.292617061453186,0.220101716873003,4.72030263992492
70,8103,"abc",0.0126311494440306,3.14311402546858,0.330300900657858,0.222490556077071,4.66614588856073
70,8103,"lstm",0.0126311494440306,2.67929869046972,0.37460795044899,0.220101716873003,4.56010341644287
71,8955,"true",0.0178915385922883,2.87779669743031,0.160691598413567,0.141405176512897,3.27030284621287
71,8955,"abc",0.0178915385922883,5.43999215046119,0.0859778970153852,0.142113207058581,3.29117254164882
71,8955,"lstm",0.0178915385922883,2.48186402753166,0.18942055106163,0.141405176512897,3.32460284233093
72,5074,"true",0.00716590630682185,3.25026058591902,0.251579208259389,0.236991587734083,3.45032493625768
72,5074,"abc",0.00716590630682185,41.1444137690287,0.0208966427074241,0.228357288764182,3.76506534383355
72,5074,"lstm",0.00716590630682185,2.31428235018939,0.367688030004501,0.236991587734083,3.5905659198761
73,6294,"true",0.00769231398799457,3.87171255238354,0.226977361896975,0.248261014053132,3.53978696379345
73,6294,"abc",0.00769231398799457,7.56665102360239,0.0996046538981426,0.245924058659719,3.06466012508678
73,6294,"lstm",0.00769231398799457,2.44404441661427,0.354168951511383,0.248261014053132,3.48667168617249
74,6436,"true",0.0195196118217427,4.37760022003204,0.0909390861478992,0.131415258563124,3.02929026570637
74,6436,"abc",0.0195196118217427,18.5929475434841,0.0226322361580147,0.132787565335065,3.16897127088596
74,6436,"lstm",0.0195196118217427,2.44165662270878,0.166686177253723,0.131415258563124,3.09697985649109
75,8242,"true",0.0123230391284451,3.66196773108095,0.177513323786904,0.206063835844165,3.15459556928836
