"sim_id","true_n","true_preval","true_crate","true_recov","true_ptran","true_R0","abc_preval","abc_crate","abc_recov","abc_ptran","abc_R0"
626,5753,0.0177376581185963,3.55941032245755,0.209582070124801,0.199930794695997,3.39549911876675,0.0177376581185963,5.00418810824825,0.208244930229862,0.14345207440339,3.44719635690823
627,6439,0.0144991250503808,4.01510302443057,0.0856385520058684,0.0448872870547051,2.10450874974485,0.0144991250503808,7.01240243835038,0.0812285076637269,0.0248063543229737,2.14151588579146
628,9834,0.019857628618367,4.42409529630095,0.218049422569107,0.229449436572182,4.6553949151421,0.019857628618367,6.5463285078493,0.218270103111264,0.144036989776083,4.31993863985722
629,7289,0.0181725161666982,4.21031385473907,0.0967562305133324,0.0783399157883261,3.4089342988329,0.0181725161666982,2.71361703024059,0.0968516448935723,0.120851465843536,3.38605086369908
630,6621,0.0116321165747941,4.54644172172993,0.182518864806276,0.0835178551423878,2.08038254857529,0.0116321165747941,9.67623358629115,0.184193226167262,0.0414089608746574,2.1753393777083
631,5111,0.00786809044517577,4.19680068269372,0.0765253323866054,0.0841670147829603,4.61588566929568,0.00786809044517577,8.93815224110982,0.0763596521203509,0.0373000272090891,4.36609272743822
632,8954,0.0120922753307968,3.02793712820858,0.169912447091425,0.26047659730411,4.64184215757996,0.0120922753307968,3.45346226598524,0.17458230446597,0.228216443187756,4.51441443299257
633,9446,0.019885952362325,1.78071827441454,0.142397723150207,0.156376714257845,1.95552896922454,0.019885952362325,4.87528084690165,0.141135049100559,0.0571,1.9724266802057
634,6206,0.00877716119168326,3.59790021367371,0.107636347872438,0.132512492974597,4.42942125231493,0.00877716119168326,5.37843817518981,0.110377217947549,0.0872201323322451,4.250044511937
635,8659,0.0159615641790442,1.47767195105553,0.105033680557506,0.197260190496357,2.77516553746536,0.0159615641790442,4.40125401997523,0.105533789798015,0.0641682205035302,2.67611576336218
636,6400,0.01728749125381,1.59411045815796,0.241054098476889,0.5594290897557,3.69955030099954,0.01728749125381,4.57163241292005,0.237869004684002,0.186575029225629,3.58580745811124
637,6236,0.0101342008116189,4.43443664070219,0.113820591152878,0.0376874117908335,1.46829706334975,0.0101342008116189,6.70778705311026,0.147250701976011,0.0307956827796431,1.40285159574067
638,7142,0.013131659777835,1.80970071069896,0.204039089579135,0.510859326551318,4.53100672147702,0.013131659777835,5.92114435675354,0.209867686673832,0.172399676396874,4.86403308285366
639,5884,0.0189927834670525,3.9673900892958,0.154768577030161,0.125553051263763,3.21846941299736,0.0189927834670525,4.00500117785437,0.16086845950351,0.126192180817366,3.14169623038216
640,5194,0.0108705335131381,3.12873642612249,0.127952139823232,0.151320948500879,3.70015979618765,0.0108705335131381,3.65669439039601,0.126115317098024,0.134990451635727,3.91402756312083
641,5807,0.0138942687516101,2.21638582460582,0.176732217894634,0.214499197382264,2.69001875340473,0.0138942687516101,4.56669020093535,0.171348530259287,0.100772469812511,2.68573444849788
