param_type,sim_id,coverage_95,coverage_90
lstm,147,0.6333333333333333,0.6166666666666667
abc,148,0.9333333333333333,0.9333333333333333
lstm,148,0.8333333333333334,0.8
abc,149,1,1
lstm,149,0.9666666666666667,0.9666666666666667
abc,150,0.9,0.8833333333333333
lstm,150,0.9666666666666667,0.9666666666666667
abc,151,0.9666666666666667,0.9666666666666667
lstm,151,0.6166666666666667,0.5666666666666667
abc,152,1,1
lstm,152,1,1
abc,153,0.9333333333333333,0.9333333333333333
lstm,153,0.9666666666666667,0.9666666666666667
abc,154,0.9333333333333333,0.9333333333333333
lstm,154,0.9166666666666666,0.9166666666666666
abc,155,1,1
lstm,155,1,1
abc,156,0.2,0.2
lstm,156,0.6333333333333333,0.6166666666666667
abc,157,0.9166666666666666,0.9
lstm,157,0.5,0.38333333333333336
abc,158,0.8833333333333333,0.8666666666666667
lstm,158,0.5166666666666667,0.5
abc,159,0.7333333333333333,0.7166666666666667
lstm,159,0.5166666666666667,0.4166666666666667
abc,160,0.95,0.95
lstm,160,0.95,0.95
abc,161,0.95,0.95
lstm,161,0.9333333333333333,0.9166666666666666
abc,162,0.9,0.9
lstm,162,0.7666666666666667,0.7666666666666667
abc,163,1,1
lstm,163,1,1
abc,164,0.5,0.5
lstm,164,0.9666666666666667,0.9666666666666667
abc,165,0.9,0.9
lstm,165,0.5833333333333334,0.5
abc,166,0.95,0.95
lstm,166,0.8333333333333334,0.8333333333333334
abc,167,0.9666666666666667,0.9666666666666667
lstm,167,0.9833333333333333,0.9833333333333333
abc,168,0.8666666666666667,0.8666666666666667
lstm,168,0.21666666666666667,0.21666666666666667
abc,169,0.95,0.95
lstm,169,0.8833333333333333,0.8833333333333333
abc,170,0.9833333333333333,0.9833333333333333
lstm,170,0.9833333333333333,0.9833333333333333
abc,171,0.9,0.9
lstm,171,0.4666666666666667,0.38333333333333336
abc,172,0.9333333333333333,0.9333333333333333
lstm,172,0.9166666666666666,0.9166666666666666
abc,173,0.95,0.95
lstm,173,0.36666666666666664,0.2
abc,174,0.9,0.9
lstm,174,0.9,0.8833333333333333
abc,175,0.8833333333333333,0.8833333333333333
lstm,175,0.8,0.7833333333333333
abc,176,0.8,0.7666666666666667
lstm,176,0.9333333333333333,0.9333333333333333
abc,177,0.9333333333333333,0.9333333333333333
lstm,177,0.95,0.95
abc,178,0.9833333333333333,0.9833333333333333
lstm,178,1,1
abc,179,0.9333333333333333,0.9333333333333333
lstm,179,0.5,0.48333333333333334
abc,180,0.95,0.95
lstm,180,0.95,0.95
abc,181,1,1
lstm,181,0.8,0.7833333333333333
abc,182,0.9666666666666667,0.9666666666666667
lstm,182,0.9,0.9
abc,183,0.95,0.95
lstm,183,0.6333333333333333,0.6333333333333333
