param_type,sim_id,mean_bias,mean_abs_bias,mean_relative_bias,rmse
lstm,320,6.466666666666667,49.86666666666667,1.9687191254323717,91.77526899987818
abc,321,1.0666666666666667,7.2,-0.2177994701341751,14.164509639706322
lstm,321,3.3833333333333333,17.65,0.5570049111105472,34.593111067571435
abc,322,-2.1,19.666666666666668,0.42951296653253834,30.398464873520616
lstm,322,-11.35,59.05,2.949000963637928,80.59766332427593
abc,324,2.5166666666666666,8.083333333333334,-0.0778215615436727,13.844975021044037
lstm,324,3.183333333333333,30.516666666666666,0.2832319138935318,53.66112807858838
abc,325,-1.25,11.25,0.09942210557504799,15.994269807236174
lstm,325,1.9,10.9,0.2594059169262663,14.627599484080314
abc,326,-1.6666666666666667,7.833333333333333,-0.10564609963669352,13.844373104863458
lstm,326,-3.1333333333333333,8.266666666666667,-0.08093716542036332,15.871357849913158
abc,327,0.15,8.95,0.0959250378768632,22.65722842714881
lstm,327,0.6666666666666666,4.5,0.09370399371478771,10.513483406242354
abc,328,-0.4166666666666667,6.35,0.01328880635971064,11.231651704001509
lstm,328,3.95,61.18333333333333,3.5494216131530854,94.49700171610384
abc,329,1.4333333333333333,6.6,-0.12676617033022916,10.310189135025603
lstm,329,0.38333333333333336,47.81666666666667,2.583535225680604,63.19691448164222
abc,330,0.8333333333333334,7.7,0.2573423660717878,13.890044396377332
lstm,330,4.816666666666666,38.416666666666664,1.651390149665437,63.0353075664742
abc,331,5.383333333333334,18.116666666666667,0.027290628097817782,25.04495957273639
lstm,331,-30.383333333333333,47.31666666666667,0.4724674878536198,63.95871063949512
abc,332,1.9666666666666666,5.6,0.04652281713268251,10.505554086608981
lstm,332,4.983333333333333,79.31666666666666,3.388318649567365,134.4564985413498
abc,333,-3.2666666666666666,16.133333333333333,-0.027505156130762803,23.924882444852262
lstm,333,-4.766666666666667,26.866666666666667,-0.13334879622007267,34.998571399415724
abc,334,2.7333333333333334,8.266666666666667,0.14295914184448943,18.065621125958184
lstm,334,-0.05,4.316666666666666,-0.05375162491226017,8.442945773445032
abc,335,-0.48333333333333334,6.483333333333333,-0.09922056251006782,10.207023725520253
lstm,335,-3.316666666666667,10.25,-0.2960665546988051,16.777465044914663
abc,336,3.966666666666667,13.6,0.0663259212207023,17.73978579352073
lstm,336,-0.8,8.833333333333334,0.04142456885163723,12.12435565298214
abc,337,-0.38333333333333336,9.816666666666666,0.17122094165752558,18.640010729610644
lstm,337,-10,78.13333333333334,7.876836720690484,107.41911685853067
abc,338,1.7333333333333334,8.133333333333333,0.09607925640643411,10.641115229774243
lstm,338,8.066666666666666,15.866666666666667,0.2838557431414854,19.62226626394957
abc,339,0.9166666666666666,10.783333333333333,0.04115069376414925,14.236689690139816
lstm,339,-1.6333333333333333,15.966666666666667,0.0847879922497701,21.357278228588335
abc,340,1.45,9.05,0.0854790496381256,11.10180165558726
lstm,340,13.166666666666666,13.966666666666667,0.42379100447846507,16.87404318275064
abc,341,2,15.1,0.2962050198462808,28.721072403376585
lstm,341,2.7333333333333334,16.333333333333332,0.07369737292378592,33.56883475288748
